id,first_name,last_name,email,mobile_number,primary_address1,primary_address2,primary_city,primary_zip,Age,gender,age_bucket,geo_bucket,Party Affiliation,home_status,edu_bucket,ethnicity_bucket
0,first_name1,last_name1,email0,mobile_number0,address1,address2,primary_city0,primary_zip0,28,Male,18-24,Neighborhood Region 1,Independent Party,Own,High school diploma or equivalent,White
1,first_name2,last_name2,email1,mobile_number1,address2,address3,primary_city1,primary_zip1,34,Male,18-24,Neighborhood Region 2,Democratic Party,Rent,Bachelors degree or higher,White
2,first_name3,last_name3,email2,mobile_number2,address3,address4,primary_city2,primary_zip2,27,Male,18-24,Neighborhood Region 3,Republican Party,Own,Bachelors degree or higher,White
3,first_name4,last_name4,email3,mobile_number3,address4,address5,primary_city3,primary_zip3,87,Male,25-34,Neighborhood Region 1,Independent Party,Own,Some college or Associate’s degree,White
4,first_name5,last_name5,email4,mobile_number4,address5,address6,primary_city4,primary_zip4,16,Male,25-34,Neighborhood Region 2,Republican Party,Rent,Some college or Associate’s degree,White
5,first_name6,last_name6,email5,mobile_number5,address6,address7,primary_city5,primary_zip5,27,Male,25-34,Neighborhood Region 3,Non-Affiliated/Other,Rent,Bachelors degree or higher,White
6,first_name7,last_name7,email6,mobile_number6,address7,address8,primary_city6,primary_zip6,25,Male,35-44,Neighborhood Region 1,Democratic Party,Rent,Some schooling; no diploma,White
7,first_name8,last_name8,email7,mobile_number7,address8,address9,primary_city7,primary_zip7,17,Male,35-44,Neighborhood Region 2,Democratic Party,Rent,Bachelors degree or higher,Hispanic/Latinx
8,first_name9,last_name9,email8,mobile_number8,address9,address10,primary_city8,primary_zip8,28,Male,45-54,Neighborhood Region 3,Non-Affiliated/Other,Rent,Some college or Associate’s degree,White
9,first_name10,last_name10,email9,mobile_number9,address10,address11,primary_city9,primary_zip9,74,Male,45-54,Neighborhood Region 1,Independent Party,Own,Some college or Associate’s degree,White
10,first_name11,last_name11,email10,mobile_number10,address11,address12,primary_city10,primary_zip10,26,Male,55-64,Neighborhood Region 2,Democratic Party,Rent,Some college or Associate’s degree,White
11,first_name12,last_name12,email11,mobile_number11,address12,address13,primary_city11,primary_zip11,35,Male,55-64,Neighborhood Region 3,Not Registered,Rent,Some schooling; no diploma,White
12,first_name13,last_name13,email12,mobile_number12,address13,address14,primary_city12,primary_zip12,64,Male,65+,Neighborhood Region 1,Republican Party,Rent,Some college or Associate’s degree,White
13,first_name14,last_name14,email13,mobile_number13,address14,address15,primary_city13,primary_zip13,25,Male,65+,Neighborhood Region 2,Democratic Party,Own,Some college or Associate’s degree,White
14,first_name15,last_name15,email14,mobile_number14,address15,address16,primary_city14,primary_zip14,29,Male,65+,Neighborhood Region 3,Republican Party,Own,Some college or Associate’s degree,White
15,first_name16,last_name16,email15,mobile_number15,address16,address17,primary_city15,primary_zip15,35,Female,18-24,Neighborhood Region 1,Democratic Party,Own,Some college or Associate’s degree,White
16,first_name17,last_name17,email16,mobile_number16,address17,address18,primary_city16,primary_zip16,28,Female,18-24,Neighborhood Region 2,Republican Party,Own,Some college or Associate’s degree,White
17,first_name18,last_name18,email17,mobile_number17,address18,address19,primary_city17,primary_zip17,88,Female,18-24,Neighborhood Region 3,Independent Party,Own,Bachelors degree or higher,White
18,first_name19,last_name19,email18,mobile_number18,address19,address20,primary_city18,primary_zip18,17,Female,25-34,Neighborhood Region 1,Independent Party,Rent,Some college or Associate’s degree,Black-Af. Amer-Native Amer-AN-Other
19,first_name20,last_name20,email19,mobile_number19,address20,address21,primary_city19,primary_zip19,28,Female,25-34,Neighborhood Region 2,Not Registered,Own,Some college or Associate’s degree,Asian/PI
20,first_name21,last_name21,email20,mobile_number20,address21,address22,primary_city20,primary_zip20,26,Female,25-34,Neighborhood Region 3,Democratic Party,Rent,High school diploma or equivalent,Hispanic/Latinx
21,first_name22,last_name22,email21,mobile_number21,address22,address23,primary_city21,primary_zip21,18,Female,35-44,Neighborhood Region 1,Not Registered,Own,Some college or Associate’s degree,White
22,first_name23,last_name23,email22,mobile_number22,address23,address24,primary_city22,primary_zip22,29,Female,35-44,Neighborhood Region 2,Independent Party,Own,Some college or Associate’s degree,White
23,first_name24,last_name24,email23,mobile_number23,address24,address25,primary_city23,primary_zip23,75,Female,45-54,Neighborhood Region 3,Independent Party,Own,Some college or Associate’s degree,White
24,first_name25,last_name25,email24,mobile_number24,address25,address26,primary_city24,primary_zip24,27,Female,45-54,Neighborhood Region 1,Republican Party,Own,High school diploma or equivalent,White
25,first_name26,last_name26,email25,mobile_number25,address26,address27,primary_city25,primary_zip25,36,Female,55-64,Neighborhood Region 2,Not Registered,Own,Bachelors degree or higher,White
26,first_name27,last_name27,email26,mobile_number26,address27,address28,primary_city26,primary_zip26,65,Female,55-64,Neighborhood Region 3,Republican Party,Own,Some college or Associate’s degree,White
27,first_name28,last_name28,email27,mobile_number27,address28,address29,primary_city27,primary_zip27,26,Female,65+,Neighborhood Region 1,Republican Party,Rent,Bachelors degree or higher,White
28,first_name29,last_name29,email28,mobile_number28,address29,address30,primary_city28,primary_zip28,30,Female,65+,Neighborhood Region 2,Independent Party,Rent,High school diploma or equivalent,Asian/PI
