id,first_name,last_name,email,mobile_number,primary_address1,primary_address2,primary_city,primary_zip,Age,gender,age_bucket,geo_bucket,Party Affiliation,home_status,edu_bucket,ethnicity_bucket
p0,first_name0,last_name0,email0,mobile_number0,primary_address10,primary_address20,primary_city0,primary_zip0,Age0,Female,55-64,Neighborhood Region 3,Independent Party,Own,High school diploma or equivalent,White
p1,first_name1,last_name1,email1,mobile_number1,primary_address11,primary_address21,primary_city1,primary_zip1,Age1,Male,55-64,Neighborhood Region 2,Democratic Party,Rent,Bachelors degree or higher,White
p2,first_name2,last_name2,email2,mobile_number2,primary_address12,primary_address22,primary_city2,primary_zip2,Age2,Male,65+,Neighborhood Region 2,Republican Party,Own,Bachelors degree or higher,White
p3,first_name3,last_name3,email3,mobile_number3,primary_address13,primary_address23,primary_city3,primary_zip3,Age3,Male,55-64,Neighborhood Region 1,Independent Party,Own,Some college or Associate’s degree,White
p4,first_name4,last_name4,email4,mobile_number4,primary_address14,primary_address24,primary_city4,primary_zip4,Age4,Female,25-34,Neighborhood Region 3,Republican Party,Rent,Some college or Associate’s degree,White
p5,first_name5,last_name5,email5,mobile_number5,primary_address15,primary_address25,primary_city5,primary_zip5,Age5,Female,18-24,Neighborhood Region 3,Non-Affiliated/Other,Rent,Bachelors degree or higher,White
p6,first_name6,last_name6,email6,mobile_number6,primary_address16,primary_address26,primary_city6,primary_zip6,Age6,Male,18-24,Neighborhood Region 1,Democratic Party,Rent,Some schooling; no diploma,White
p7,first_name7,last_name7,email7,mobile_number7,primary_address17,primary_address27,primary_city7,primary_zip7,Age7,Male,25-34,Neighborhood Region 1,Democratic Party,Rent,Bachelors degree or higher,Hispanic/Latinx
p8,first_name8,last_name8,email8,mobile_number8,primary_address18,primary_address28,primary_city8,primary_zip8,Age8,Male,65+,Neighborhood Region 1,Non-Affiliated/Other,Rent,Some college or Associate’s degree,White
p9,first_name9,last_name9,email9,mobile_number9,primary_address19,primary_address29,primary_city9,primary_zip9,Age9,Male,45-54,Neighborhood Region 1,Independent Party,Own,Some college or Associate’s degree,White
p10,first_name10,last_name10,email10,mobile_number10,primary_address110,primary_address210,primary_city10,primary_zip10,Age10,Male,65+,Neighborhood Region 1,Democratic Party,Rent,Some college or Associate’s degree,White
p11,first_name11,last_name11,email11,mobile_number11,primary_address111,primary_address211,primary_city11,primary_zip11,Age11,Female,35-44,Neighborhood Region 2,Not Registered,Rent,Some schooling; no diploma,White
p12,first_name12,last_name12,email12,mobile_number12,primary_address112,primary_address212,primary_city12,primary_zip12,Age12,Female,25-34,Neighborhood Region 1,Republican Party,Rent,Some college or Associate’s degree,White
p13,first_name13,last_name13,email13,mobile_number13,primary_address113,primary_address213,primary_city13,primary_zip13,Age13,Male,18-24,Neighborhood Region 1,Democratic Party,Own,Some college or Associate’s degree,White
p14,first_name14,last_name14,email14,mobile_number14,primary_address114,primary_address214,primary_city14,primary_zip14,Age14,Male,35-44,Neighborhood Region 2,Republican Party,Own,Some college or Associate’s degree,White
p15,first_name15,last_name15,email15,mobile_number15,primary_address115,primary_address215,primary_city15,primary_zip15,Age15,Female,65+,Neighborhood Region 2,Democratic Party,Own,Some college or Associate’s degree,White
p16,first_name16,last_name16,email16,mobile_number16,primary_address116,primary_address216,primary_city16,primary_zip16,Age16,Male,18-24,Neighborhood Region 1,Republican Party,Own,Some college or Associate’s degree,White
p17,first_name17,last_name17,email17,mobile_number17,primary_address117,primary_address217,primary_city17,primary_zip17,Age17,Female,45-54,Neighborhood Region 2,Independent Party,Own,Bachelors degree or higher,White
p18,first_name18,last_name18,email18,mobile_number18,primary_address118,primary_address218,primary_city18,primary_zip18,Age18,Female,65+,Neighborhood Region 1,Independent Party,Rent,Some college or Associate’s degree,Black-Af. Amer-Native Amer-AN-Other
p19,first_name19,last_name19,email19,mobile_number19,primary_address119,primary_address219,primary_city19,primary_zip19,Age19,Female,35-44,Neighborhood Region 1,Not Registered,Own,Some college or Associate’s degree,Asian/PI
p20,first_name20,last_name20,email20,mobile_number20,primary_address120,primary_address220,primary_city20,primary_zip20,Age20,Male,45-54,Neighborhood Region 1,Democratic Party,Rent,High school diploma or equivalent,Hispanic/Latinx
p21,first_name21,last_name21,email21,mobile_number21,primary_address121,primary_address221,primary_city21,primary_zip21,Age21,Male,35-44,Neighborhood Region 2,Not Registered,Own,Some college or Associate’s degree,White
p22,first_name22,last_name22,email22,mobile_number22,primary_address122,primary_address222,primary_city22,primary_zip22,Age22,Male,55-64,Neighborhood Region 3,Independent Party,Own,Some college or Associate’s degree,White
p23,first_name23,last_name23,email23,mobile_number23,primary_address123,primary_address223,primary_city23,primary_zip23,Age23,Female,55-64,Neighborhood Region 1,Independent Party,Own,Some college or Associate’s degree,White
p24,first_name24,last_name24,email24,mobile_number24,primary_address124,primary_address224,primary_city24,primary_zip24,Age24,Female,55-64,Neighborhood Region 1,Republican Party,Own,High school diploma or equivalent,White
p25,first_name25,last_name25,email25,mobile_number25,primary_address125,primary_address225,primary_city25,primary_zip25,Age25,Male,65+,Neighborhood Region 3,Not Registered,Own,Bachelors degree or higher,White
p26,first_name26,last_name26,email26,mobile_number26,primary_address126,primary_address226,primary_city26,primary_zip26,Age26,Male,18-24,Neighborhood Region 3,Republican Party,Own,Some college or Associate’s degree,White
p27,first_name27,last_name27,email27,mobile_number27,primary_address127,primary_address227,primary_city27,primary_zip27,Age27,Male,45-54,Neighborhood Region 1,Republican Party,Rent,Bachelors degree or higher,White
p28,first_name28,last_name28,email28,mobile_number28,primary_address128,primary_address228,primary_city28,primary_zip28,Age28,Male,55-64,Neighborhood Region 1,Independent Party,Rent,High school diploma or equivalent,Asian/PI
p29,first_name29,last_name29,email29,mobile_number29,primary_address129,primary_address229,primary_city29,primary_zip29,Age29,Male,18-24,Neighborhood Region 1,Independent Party,Rent,Bachelors degree or higher,White
p30,first_name30,last_name30,email30,mobile_number30,primary_address130,primary_address230,primary_city30,primary_zip30,Age30,Female,35-44,Neighborhood Region 3,Republican Party,Own,High school diploma or equivalent,White
p31,first_name31,last_name31,email31,mobile_number31,primary_address131,primary_address231,primary_city31,primary_zip31,Age31,Male,55-64,Neighborhood Region 1,Republican Party,Rent,Some college or Associate’s degree,White
p32,first_name32,last_name32,email32,mobile_number32,primary_address132,primary_address232,primary_city32,primary_zip32,Age32,Male,35-44,Neighborhood Region 3,Not Registered,Own,Bachelors degree or higher,White
p33,first_name33,last_name33,email33,mobile_number33,primary_address133,primary_address233,primary_city33,primary_zip33,Age33,Female,25-34,Neighborhood Region 1,Not Registered,Own,Some schooling; no diploma,White
p34,first_name34,last_name34,email34,mobile_number34,primary_address134,primary_address234,primary_city34,primary_zip34,Age34,Female,35-44,Neighborhood Region 2,Republican Party,Rent,Some college or Associate’s degree,White
p35,first_name35,last_name35,email35,mobile_number35,primary_address135,primary_address235,primary_city35,primary_zip35,Age35,Male,65+,Neighborhood Region 1,Independent Party,Rent,Some college or Associate’s degree,White
p36,first_name36,last_name36,email36,mobile_number36,primary_address136,primary_address236,primary_city36,primary_zip36,Age36,Male,25-34,Neighborhood Region 1,Democratic Party,Own,Bachelors degree or higher,Black-Af. Amer-Native Amer-AN-Other
p37,first_name37,last_name37,email37,mobile_number37,primary_address137,primary_address237,primary_city37,primary_zip37,Age37,Male,45-54,Neighborhood Region 2,Republican Party,Rent,Some college or Associate’s degree,White
p38,first_name38,last_name38,email38,mobile_number38,primary_address138,primary_address238,primary_city38,primary_zip38,Age38,Male,45-54,Neighborhood Region 1,Independent Party,Rent,Bachelors degree or higher,White
p39,first_name39,last_name39,email39,mobile_number39,primary_address139,primary_address239,primary_city39,primary_zip39,Age39,Male,45-54,Neighborhood Region 3,Republican Party,Own,Bachelors degree or higher,White
p40,first_name40,last_name40,email40,mobile_number40,primary_address140,primary_address240,primary_city40,primary_zip40,Age40,Female,25-34,Neighborhood Region 3,Democratic Party,Own,Bachelors degree or higher,White
p41,first_name41,last_name41,email41,mobile_number41,primary_address141,primary_address241,primary_city41,primary_zip41,Age41,Female,18-24,Neighborhood Region 3,Democratic Party,Rent,Some college or Associate’s degree,White
p42,first_name42,last_name42,email42,mobile_number42,primary_address142,primary_address242,primary_city42,primary_zip42,Age42,Male,55-64,Neighborhood Region 2,Republican Party,Own,Some college or Associate’s degree,White
p43,first_name43,last_name43,email43,mobile_number43,primary_address143,primary_address243,primary_city43,primary_zip43,Age43,Female,45-54,Neighborhood Region 1,Non-Affiliated/Other,Rent,Bachelors degree or higher,White
p44,first_name44,last_name44,email44,mobile_number44,primary_address144,primary_address244,primary_city44,primary_zip44,Age44,Male,25-34,Neighborhood Region 1,Non-Affiliated/Other,Rent,High school diploma or equivalent,White
p45,first_name45,last_name45,email45,mobile_number45,primary_address145,primary_address245,primary_city45,primary_zip45,Age45,Female,55-64,Neighborhood Region 3,Democratic Party,Own,Some college or Associate’s degree,White
p46,first_name46,last_name46,email46,mobile_number46,primary_address146,primary_address246,primary_city46,primary_zip46,Age46,Female,35-44,Neighborhood Region 3,Non-Affiliated/Other,Own,Bachelors degree or higher,Hispanic/Latinx
p47,first_name47,last_name47,email47,mobile_number47,primary_address147,primary_address247,primary_city47,primary_zip47,Age47,Male,35-44,Neighborhood Region 2,Democratic Party,Own,Bachelors degree or higher,Hispanic/Latinx
p48,first_name48,last_name48,email48,mobile_number48,primary_address148,primary_address248,primary_city48,primary_zip48,Age48,Female,65+,Neighborhood Region 2,Not Registered,Own,Some college or Associate’s degree,White
p49,first_name49,last_name49,email49,mobile_number49,primary_address149,primary_address249,primary_city49,primary_zip49,Age49,Male,65+,Neighborhood Region 3,Democratic Party,Rent,Bachelors degree or higher,White
p50,first_name50,last_name50,email50,mobile_number50,primary_address150,primary_address250,primary_city50,primary_zip50,Age50,Male,25-34,Neighborhood Region 1,Republican Party,Own,Bachelors degree or higher,White
p51,first_name51,last_name51,email51,mobile_number51,primary_address151,primary_address251,primary_city51,primary_zip51,Age51,Female,25-34,Neighborhood Region 3,Non-Affiliated/Other,Own,Some schooling; no diploma,White
